mz,rt,ccs,0641_Serum,0641_Serum,0641_Serum,0641_Serum,geh_Serum,geh_Serum,geh_Serum,geh_Serum,sal1_Serum,sal1_Serum,sal1_Serum,sal1_Serum,WT_Serum,WT_Serum,WT_Serum,WT_Serum
581.4548525,0.362716667,242.7067488,125.0143889,80.7572407,76.70784319,147.156976,25.33814618,14.53569988,17.30154559,29.26773256,163.8232267,185.7021395,195.3782017,148.0914581,155.8794472,155.0452329,166.8652201,189.7253868
883.70366,0.275316667,314.2930997,214.9254833,299.9359526,278.1132449,264.9053032,725.6834593,720.8361918,742.1003135,683.3129192,301.7695321,302.7884576,310.3080305,205.6782805,210.1836674,250.798751,231.3645051,258.4278885
965.7922541,0.43035,344.3646,4997.63865,1877.687506,1619.05896,4803.587587,214.5732163,158.0457286,156.7662704,372.9565923,6289.371765,6167.054626,5365.352717,5113.916776,6598.290659,5711.015023,6030.969163,6712.835506
868.9950286,4.548416667,256.808088,19.76187935,26.22754744,13.71778268,19.08087164,515.0667365,282.5388889,195.7754049,119.7062827,65.73779142,46.66305003,33.64523274,40.89070433,2335.507229,1994.563981,1465.681892,871.5468242
617.4685104,0.362716667,250.4655743,276.8365218,186.2146465,189.3093985,401.8282814,63.48203843,75.94563679,70.59085529,44.59853747,685.5681718,641.5966137,656.6599911,660.9960798,548.0712854,538.0539676,578.5776586,551.323502
905.7569435,0.309133333,327.2368817,4463.510035,7626.42465,7975.977128,4673.398831,15416.46697,12411.42192,14622.62166,20459.26065,3971.833481,3383.227655,3449.044595,3834.879959,2753.620188,2893.009671,2833.681466,2800.005047
890.8174201,0.619183333,326.1410997,161.7211875,288.3051063,300.1982977,144.9021916,1207.06057,821.0479424,1094.671403,1733.739338,148.4240029,158.9968592,89.74651394,107.2246667,95.63960308,108.0109151,84.04225425,94.39334871
948.8742991,1.4479,336.3634251,297.5340461,12.95832428,54.9432742,361.5058677,0,0,0,0,958.6316914,934.0704306,901.8895703,576.6190353,533.9798361,371.2792733,528.6144023,657.125981
852.7989057,0.619183333,316.8626513,19.01925992,267.5475462,333.2269817,31.77576806,4539.183527,2802.609128,3625.507891,7431.6325,2.103215891,0.735421013,2.256201766,3.409988689,2.598984192,0.039813348,1.864252189,0
945.7502625,0.309133333,335.2169181,513.6965361,1142.853168,1237.831644,558.053382,3057.36498,3080.920646,3070.466872,2672.520527,453.3739484,417.8965031,385.4528288,507.0201797,243.1129588,234.3824099,255.3407135,179.9832541
534.2970988,4.150966667,240.4680562,123.5967327,84.64462749,90.01351792,127.5034173,22.53128777,10.85812601,20.13269042,29.69377547,140.2533837,143.6094746,130.3089047,117.5271833,153.8115007,141.0335934,144.8830008,135.3877732
939.8491853,0.672783333,329.4074956,77.91989751,52.64254335,34.92785321,65.86674683,0,2.974144049,1.444023264,1.897621998,143.8668134,155.245402,96.76762982,114.279605,98.86563949,85.96568581,74.69111276,105.7789882
